Date,GEO,Number_of_Houses
2034-06-01,Prince Edward Island,76680.71358713406
2034-07-01,Prince Edward Island,76746.40320839814
2034-08-01,Prince Edward Island,76814.28248370439
2034-09-01,Prince Edward Island,76879.97210496847
2034-10-01,Prince Edward Island,76947.8513802747
2034-11-01,Prince Edward Island,77015.73065558093
2034-12-01,Prince Edward Island,77081.42027684502
2035-01-01,Prince Edward Island,77149.29955215125
2035-02-01,Prince Edward Island,77214.98917341534
2035-03-01,Prince Edward Island,77282.86844872157
2035-04-01,Prince Edward Island,77350.7477240278
2035-05-01,Prince Edward Island,77414.24769124975
2035-06-01,Prince Edward Island,77482.12696655598
2035-07-01,Prince Edward Island,77547.81658782007
2035-08-01,Prince Edward Island,77615.6958631263
2035-09-01,Prince Edward Island,77681.38548439038
2035-10-01,Prince Edward Island,77749.26475969661
2035-11-01,Prince Edward Island,77817.14403500284
2035-12-01,Prince Edward Island,77882.83365626693
2024-01-01,Quebec,3910762.7181159966
2024-02-01,Quebec,3913653.9243433913
2024-03-01,Quebec,3916641.5041116998
2024-04-01,Quebec,3919629.0838800077
2024-05-01,Quebec,3922327.5430255765
2024-06-01,Quebec,3925315.122793884
2024-07-01,Quebec,3928206.329021279
2024-08-01,Quebec,3931193.908789587
2024-09-01,Quebec,3934085.115016982
2024-10-01,Quebec,3937072.6947852904
2024-11-01,Quebec,3940060.2745535984
2024-12-01,Quebec,3942951.480780993
2025-01-01,Quebec,3945939.0605493016
2025-02-01,Quebec,3948830.2667766963
2025-03-01,Quebec,3951817.846545004
2025-04-01,Quebec,3954805.4263133123
2025-05-01,Quebec,3957503.885458881
2025-06-01,Quebec,3960491.465227189
2025-07-01,Quebec,3963382.6714545838
2025-08-01,Quebec,3966370.2512228917
2025-09-01,Quebec,3969261.4574502865
2025-10-01,Quebec,3972249.037218595
2025-11-01,Quebec,3975236.616986903
2025-12-01,Quebec,3978127.8232142976
2026-01-01,Quebec,3981115.4029826056
2026-02-01,Quebec,3984006.6092100013
2026-03-01,Quebec,3986994.1889783093
2026-04-01,Quebec,3989981.7687466173
2026-05-01,Quebec,3992680.2278921846
2026-06-01,Quebec,3995667.8076604935
2026-07-01,Quebec,3998559.0138878883
2026-08-01,Quebec,4001546.5936561963
2026-09-01,Quebec,4004437.799883591
2026-10-01,Quebec,4007425.3796519
2026-11-01,Quebec,4010412.959420208
2026-12-01,Quebec,4013304.1656476026
2027-01-01,Quebec,4016291.74541591
2027-02-01,Quebec,4019182.9516433054
2027-03-01,Quebec,4022170.531411613
2027-04-01,Quebec,4025158.111179921
2027-05-01,Quebec,4027952.943866403
2027-06-01,Quebec,4030940.5236347113
2027-07-01,Quebec,4033831.729862106
2027-08-01,Quebec,4036819.309630414
2027-09-01,Quebec,4039710.5158578088
2027-10-01,Quebec,4042698.0956261177
2027-11-01,Quebec,4045685.6753944256
2027-12-01,Quebec,4048576.8816218204
2028-01-01,Quebec,4051564.4613901284
2028-02-01,Quebec,4054455.667617523
2028-03-01,Quebec,4057443.2473858306
2028-04-01,Quebec,4060430.8271541395
2028-05-01,Quebec,4063129.2862997074
2028-06-01,Quebec,4066116.8660680163
2028-07-01,Quebec,4069008.072295411
2028-08-01,Quebec,4071995.652063719
2028-09-01,Quebec,4074886.8582911137
2028-10-01,Quebec,4077874.4380594213
2028-11-01,Quebec,4080862.017827729
2028-12-01,Quebec,4083753.224055125
2029-01-01,Quebec,4086740.803823433
2029-02-01,Quebec,4089632.0100508276
2029-03-01,Quebec,4092619.5898191356
2029-04-01,Quebec,4095607.169587444
2029-05-01,Quebec,4098305.628733012
2029-06-01,Quebec,4101293.20850132
2029-07-01,Quebec,4104184.4147287156
2029-08-01,Quebec,4107171.9944970235
2029-09-01,Quebec,4110063.2007244183
2029-10-01,Quebec,4113050.7804927262
2029-11-01,Quebec,4116038.3602610347
2029-12-01,Quebec,4118929.566488429
2030-01-01,Quebec,4121917.1462567374
2030-02-01,Quebec,4124808.352484132
2030-03-01,Quebec,4127795.93225244
2030-04-01,Quebec,4130783.512020748
2030-05-01,Quebec,4133481.971166317
2030-06-01,Quebec,4136469.550934625
2030-07-01,Quebec,4139360.7571620196
2030-08-01,Quebec,4142348.336930328
2030-09-01,Quebec,4145239.543157723
2030-10-01,Quebec,4148227.122926031
2030-11-01,Quebec,4151214.7026943387
2030-12-01,Quebec,4154105.9089217344
2031-01-01,Quebec,4157093.4886900424
2031-02-01,Quebec,4159984.694917437
2031-03-01,Quebec,4162972.274685745
2031-04-01,Quebec,4165959.8544540526
2031-05-01,Quebec,4168754.6871405346
2031-06-01,Quebec,4171742.2669088435
2031-07-01,Quebec,4174633.4731362374
2031-08-01,Quebec,4177621.052904546
2031-09-01,Quebec,4180512.259131941
2031-10-01,Quebec,4183499.8389002485
2031-11-01,Quebec,4186487.4186685565
2031-12-01,Quebec,4189378.6248959512
2032-01-01,Quebec,4192366.20466426
2032-02-01,Quebec,4195257.410891655
2032-03-01,Quebec,4198244.990659963
2032-04-01,Quebec,4201232.570428271
2032-05-01,Quebec,4203931.029573839
2032-06-01,Quebec,4206918.609342148
2032-07-01,Quebec,4209809.815569542
2032-08-01,Quebec,4212797.395337851
2032-09-01,Quebec,4215688.601565246
2032-10-01,Quebec,4218676.181333554
2032-11-01,Quebec,4221663.7611018615
2032-12-01,Quebec,4224554.967329256
2033-01-01,Quebec,4227542.547097564
2033-02-01,Quebec,4230433.753324959
2033-03-01,Quebec,4233421.333093268
2033-04-01,Quebec,4236408.912861575
2033-05-01,Quebec,4239107.372007145
2033-06-01,Quebec,4242094.951775452
2033-07-01,Quebec,4244986.158002847
2033-08-01,Quebec,4247973.737771154
2033-09-01,Quebec,4250864.94399855
2033-10-01,Quebec,4253852.5237668585
2033-11-01,Quebec,4256840.103535166
2033-12-01,Quebec,4259731.309762561
2034-01-01,Quebec,4262718.889530868
2034-02-01,Quebec,4265610.095758263
2034-03-01,Quebec,4268597.675526572
2034-04-01,Quebec,4271585.25529488
2034-05-01,Quebec,4274283.714440449
2034-06-01,Quebec,4277271.294208757
2034-07-01,Quebec,4280162.500436151
2034-08-01,Quebec,4283150.080204459
2034-09-01,Quebec,4286041.286431854
2034-10-01,Quebec,4289028.866200162
2034-11-01,Quebec,4292016.445968471
2034-12-01,Quebec,4294907.652195865
2035-01-01,Quebec,4297895.231964174
2035-02-01,Quebec,4300786.4381915685
2035-03-01,Quebec,4303774.017959877
2035-04-01,Quebec,4306761.597728184
2035-05-01,Quebec,4309556.430414666
2035-06-01,Quebec,4312544.010182974
2035-07-01,Quebec,4315435.21641037
2035-08-01,Quebec,4318422.796178678
2035-09-01,Quebec,4321314.002406072
2035-10-01,Quebec,4324301.582174379
2035-11-01,Quebec,4327289.161942689
2035-12-01,Quebec,4330180.3681700835
2024-01-01,Canada,16246447.605781311
2024-02-01,Canada,16259883.410877435
2024-03-01,Canada,16273767.076143432
2024-04-01,Canada,16287650.741409428
2024-05-01,Canada,16300190.826165812
2024-06-01,Canada,16314074.491431806
2024-07-01,Canada,16327510.296527933
2024-08-01,Canada,16341393.96179393
2024-09-01,Canada,16354829.766890055
2024-10-01,Canada,16368713.432156052
2024-11-01,Canada,16382597.097422048
2024-12-01,Canada,16396032.902518174
2025-01-01,Canada,16409916.567784172
2025-02-01,Canada,16423352.372880297
2025-03-01,Canada,16437236.038146293
2025-04-01,Canada,16451119.70341229
2025-05-01,Canada,16463659.788168674
2025-06-01,Canada,16477543.45343467
2025-07-01,Canada,16490979.258530796
2025-08-01,Canada,16504862.923796792
2025-09-01,Canada,16518298.728892917
2025-10-01,Canada,16532182.394158915
2025-11-01,Canada,16546066.059424909
2025-12-01,Canada,16559501.864521036
2026-01-01,Canada,16573385.529787032
2026-02-01,Canada,16586821.334883157
2026-03-01,Canada,16600705.000149153
2026-04-01,Canada,16614588.665415151
2026-05-01,Canada,16627128.750171535
2026-06-01,Canada,16641012.415437533
2026-07-01,Canada,16654448.220533656
2026-08-01,Canada,16668331.885799654
2026-09-01,Canada,16681767.690895777
2026-10-01,Canada,16695651.356161775
2026-11-01,Canada,16709535.021427773
2026-12-01,Canada,16722970.826523896
2027-01-01,Canada,16736854.491789894
2027-02-01,Canada,16750290.296886021
2027-03-01,Canada,16764173.962152015
2027-04-01,Canada,16778057.62741801
2027-05-01,Canada,16791045.57234427
2027-06-01,Canada,16804929.237610262
2027-07-01,Canada,16818365.04270639
2027-08-01,Canada,16832248.707972385
2027-09-01,Canada,16845684.513068512
2027-10-01,Canada,16859568.178334508
2027-11-01,Canada,16873451.843600504
2027-12-01,Canada,16886887.64869663
2028-01-01,Canada,16900771.313962627
2028-02-01,Canada,16914207.11905875
2028-03-01,Canada,16928090.784324747
2028-04-01,Canada,16941974.449590746
2028-05-01,Canada,16954514.534347124
2028-06-01,Canada,16968398.199613128
2028-07-01,Canada,16981834.00470925
2028-08-01,Canada,16995717.669975244
2028-09-01,Canada,17009153.47507137
2028-10-01,Canada,17023037.14033737
2028-11-01,Canada,17036920.805603363
2028-12-01,Canada,17050356.61069949
2029-01-01,Canada,17064240.27596549
2029-02-01,Canada,17077676.081061613
2029-03-01,Canada,17091559.74632761
2029-04-01,Canada,17105443.41159361
2029-05-01,Canada,17117983.49634999
2029-06-01,Canada,17131867.161615986
2029-07-01,Canada,17145302.96671211
2029-08-01,Canada,17159186.63197811
2029-09-01,Canada,17172622.437074233
2029-10-01,Canada,17186506.10234023
2029-11-01,Canada,17200389.76760623
2029-12-01,Canada,17213825.572702352
2030-01-01,Canada,17227709.237968348
2030-02-01,Canada,17241145.043064475
2030-03-01,Canada,17255028.70833047
2030-04-01,Canada,17268912.373596467
2030-05-01,Canada,17281452.458352853
2030-06-01,Canada,17295336.12361885
2030-07-01,Canada,17308771.928714972
2030-08-01,Canada,17322655.59398097
2030-09-01,Canada,17336091.3990771
2030-10-01,Canada,17349975.06434309
2030-11-01,Canada,17363858.72960909
2030-12-01,Canada,17377294.534705218
2031-01-01,Canada,17391178.19997121
2031-02-01,Canada,17404614.005067337
2031-03-01,Canada,17418497.670333337
2031-04-01,Canada,17432381.33559933
2031-05-01,Canada,17445369.280525584
2031-06-01,Canada,17459252.945791584
2031-07-01,Canada,17472688.750887707
2031-08-01,Canada,17486572.416153707
2031-09-01,Canada,17500008.22124983
2031-10-01,Canada,17513891.886515826
2031-11-01,Canada,17527775.551781826
2031-12-01,Canada,17541211.35687795
2032-01-01,Canada,17555095.022143945
2032-02-01,Canada,17568530.82724007
2032-03-01,Canada,17582414.49250607
2032-04-01,Canada,17596298.157772064
2032-05-01,Canada,17608838.242528446
2032-06-01,Canada,17622721.907794442
2032-07-01,Canada,17636157.71289057
2032-08-01,Canada,17650041.378156565
2032-09-01,Canada,17663477.18325269
2032-10-01,Canada,17677360.84851869
2032-11-01,Canada,17691244.513784684
2032-12-01,Canada,17704680.318880808
2033-01-01,Canada,17718563.984146807
2033-02-01,Canada,17731999.789242934
2033-03-01,Canada,17745883.454508927
2033-04-01,Canada,17759767.119774926
2033-05-01,Canada,17772307.20453131
2033-06-01,Canada,17786190.869797304
2033-07-01,Canada,17799626.67489343
2033-08-01,Canada,17813510.340159427
2033-09-01,Canada,17826946.145255554
2033-10-01,Canada,17840829.810521547
2033-11-01,Canada,17854713.475787546
2033-12-01,Canada,17868149.280883674
2034-01-01,Canada,17882032.946149666
2034-02-01,Canada,17895468.751245793
2034-03-01,Canada,17909352.416511793
2034-04-01,Canada,17923236.081777785
2034-05-01,Canada,17935776.16653417
2034-06-01,Canada,17949659.831800167
2034-07-01,Canada,17963095.636896294
2034-08-01,Canada,17976979.30216229
2034-09-01,Canada,17990415.107258417
2034-10-01,Canada,18004298.772524413
2034-11-01,Canada,18018182.43779041
2034-12-01,Canada,18031618.242886536
2035-01-01,Canada,18045501.90815253
2035-02-01,Canada,18058937.713248655
2035-03-01,Canada,18072821.37851465
2035-04-01,Canada,18086705.04378065
2035-05-01,Canada,18099692.988706905
2035-06-01,Canada,18113576.653972898
2035-07-01,Canada,18127012.459069025
2035-08-01,Canada,18140896.124335025
2035-09-01,Canada,18154331.929431148
2035-10-01,Canada,18168215.594697144
2035-11-01,Canada,18182099.25996314
2035-12-01,Canada,18195535.065059267
2024-01-01,Alberta,2044012.5841112512
2024-02-01,Alberta,2047092.347150659
2024-03-01,Alberta,2050274.7689580475
2024-04-01,Alberta,2053457.190765436
2024-05-01,Alberta,2056331.6362688835
2024-06-01,Alberta,2059514.058076272
2024-07-01,Alberta,2062593.82111568
2024-08-01,Alberta,2065776.2429230686
2024-09-01,Alberta,2068856.0059624764
2024-10-01,Alberta,2072038.4277698651
2024-11-01,Alberta,2075220.8495772537
2024-12-01,Alberta,2078300.6126166615
2025-01-01,Alberta,2081483.0344240502
2025-02-01,Alberta,2084562.7974634585
2025-03-01,Alberta,2087745.2192708466
2025-04-01,Alberta,2090927.6410782353
2025-05-01,Alberta,2093802.0865816828
2025-06-01,Alberta,2096984.5083890716
2025-07-01,Alberta,2100064.2714284793
2025-08-01,Alberta,2103246.6932358677
2025-09-01,Alberta,2106326.4562752754
2025-10-01,Alberta,2109508.878082664
2025-11-01,Alberta,2112691.299890053
2025-12-01,Alberta,2115771.062929461
2026-01-01,Alberta,2118953.4847368496
2026-02-01,Alberta,2122033.2477762573
2026-03-01,Alberta,2125215.6695836456
2026-04-01,Alberta,2128398.0913910344
2026-05-01,Alberta,2131272.536894482
2026-06-01,Alberta,2134454.95870187
2026-07-01,Alberta,2137534.721741278
2026-08-01,Alberta,2140717.143548667
2026-09-01,Alberta,2143796.9065880748
2026-10-01,Alberta,2146979.3283954635
2026-11-01,Alberta,2150161.750202852
2026-12-01,Alberta,2153241.51324226
2027-01-01,Alberta,2156423.9350496484
2027-02-01,Alberta,2159503.6980890566
2027-03-01,Alberta,2162686.119896445
2027-04-01,Alberta,2165868.5417038333
2027-05-01,Alberta,2168845.645975261
2027-06-01,Alberta,2172028.06778265
2027-07-01,Alberta,2175107.8308220576
2027-08-01,Alberta,2178290.2526294463
2027-09-01,Alberta,2181370.015668855
2027-10-01,Alberta,2184552.4374762424
2027-11-01,Alberta,2187734.859283631
2027-12-01,Alberta,2190814.6223230395
2028-01-01,Alberta,2193997.0441304278
2028-02-01,Alberta,2197076.8071698365
2028-03-01,Alberta,2200259.228977225
2028-04-01,Alberta,2203441.6507846126
2028-05-01,Alberta,2206316.0962880603
2028-06-01,Alberta,2209498.518095449
2028-07-01,Alberta,2212578.2811348573
2028-08-01,Alberta,2215760.7029422456
2028-09-01,Alberta,2218840.465981654
2028-10-01,Alberta,2222022.887789042
2028-11-01,Alberta,2225205.3095964305
2028-12-01,Alberta,2228285.0726358388
2029-01-01,Alberta,2231467.4944432275
2029-02-01,Alberta,2234547.2574826353
2029-03-01,Alberta,2237729.6792900236
2029-04-01,Alberta,2240912.1010974124
2029-05-01,Alberta,2243786.5466008596
2029-06-01,Alberta,2246968.9684082484
2029-07-01,Alberta,2250048.731447656
2029-08-01,Alberta,2253231.1532550445
2029-09-01,Alberta,2256310.916294453
2029-10-01,Alberta,2259493.338101841
2029-11-01,Alberta,2262675.75990923
2029-12-01,Alberta,2265755.522948638
2030-01-01,Alberta,2268937.9447560264
2030-02-01,Alberta,2272017.7077954346
2030-03-01,Alberta,2275200.129602823
2030-04-01,Alberta,2278382.5514102113
2030-05-01,Alberta,2281256.996913659
2030-06-01,Alberta,2284439.4187210477
2030-07-01,Alberta,2287519.181760456
2030-08-01,Alberta,2290701.603567844
2030-09-01,Alberta,2293781.366607252
2030-10-01,Alberta,2296963.788414641
2030-11-01,Alberta,2300146.210222029
2030-12-01,Alberta,2303225.9732614374
2031-01-01,Alberta,2306408.395068826
2031-02-01,Alberta,2309488.158108234
2031-03-01,Alberta,2312670.5799156222
2031-04-01,Alberta,2315853.001723011
2031-05-01,Alberta,2318830.1059944388
2031-06-01,Alberta,2322012.5278018266
2031-07-01,Alberta,2325092.2908412353
2031-08-01,Alberta,2328274.7126486236
2031-09-01,Alberta,2331354.475688032
2031-10-01,Alberta,2334536.8974954206
2031-11-01,Alberta,2337719.3193028085
2031-12-01,Alberta,2340799.0823422167
2032-01-01,Alberta,2343981.504149605
2032-02-01,Alberta,2347061.2671890133
2032-03-01,Alberta,2350243.6889964016
2032-04-01,Alberta,2353426.1108037904
2032-05-01,Alberta,2356300.5563072376
2032-06-01,Alberta,2359482.9781146264
2032-07-01,Alberta,2362562.741154034
2032-08-01,Alberta,2365745.162961423
2032-09-01,Alberta,2368824.9260008307
2032-10-01,Alberta,2372007.3478082195
2032-11-01,Alberta,2375189.769615608
2032-12-01,Alberta,2378269.5326550156
2033-01-01,Alberta,2381451.9544624044
2033-02-01,Alberta,2384531.717501812
2033-03-01,Alberta,2387714.139309201
2033-04-01,Alberta,2390896.5611165897
2033-05-01,Alberta,2393771.0066200374
2033-06-01,Alberta,2396953.428427425
2033-07-01,Alberta,2400033.191466834
2033-08-01,Alberta,2403215.6132742222
2033-09-01,Alberta,2406295.3763136305
2033-10-01,Alberta,2409477.798121019
2033-11-01,Alberta,2412660.219928407
2033-12-01,Alberta,2415739.982967815
2034-01-01,Alberta,2418922.4047752037
2034-02-01,Alberta,2422002.167814612
2034-03-01,Alberta,2425184.589622
2034-04-01,Alberta,2428367.0114293885
2034-05-01,Alberta,2431241.456932836
2034-06-01,Alberta,2434423.878740225
2034-07-01,Alberta,2437503.641779633
2034-08-01,Alberta,2440686.0635870215
2034-09-01,Alberta,2443765.8266264293
2034-10-01,Alberta,2446948.2484338176
2034-11-01,Alberta,2450130.6702412064
2034-12-01,Alberta,2453210.433280614
2035-01-01,Alberta,2456392.855088003
2035-02-01,Alberta,2459472.6181274108
2035-03-01,Alberta,2462655.0399347995
2035-04-01,Alberta,2465837.461742188
2035-05-01,Alberta,2468814.566013616
2035-06-01,Alberta,2471996.9878210044
2035-07-01,Alberta,2475076.7508604126
2035-08-01,Alberta,2478259.172667801
2035-09-01,Alberta,2481338.9357072087
2035-10-01,Alberta,2484521.3575145975
2035-11-01,Alberta,2487703.779321986
2035-12-01,Alberta,2490783.542361394
2024-01-01,British Columbia,2184101.3619207246
2024-02-01,British Columbia,2186362.8334290464
2024-03-01,British Columbia,2188699.6873209793
2024-04-01,British Columbia,2191036.541212912
2024-05-01,British Columbia,2193147.247954013
2024-06-01,British Columbia,2195484.101845945
2024-07-01,British Columbia,2197745.573354267
2024-08-01,British Columbia,2200082.4272462
2024-09-01,British Columbia,2202343.8987545217
2024-10-01,British Columbia,2204680.7526464546
2024-11-01,British Columbia,2207017.606538387
2024-12-01,British Columbia,2209279.078046709
2025-01-01,British Columbia,2211615.9319386417
2025-02-01,British Columbia,2213877.403446964
2025-03-01,British Columbia,2216214.2573388964
2025-04-01,British Columbia,2218551.1112308293
2025-05-01,British Columbia,2220661.8179719294
2025-06-01,British Columbia,2222998.6718638623
2025-07-01,British Columbia,2225260.1433721846
2025-08-01,British Columbia,2227596.997264117
2025-09-01,British Columbia,2229858.4687724393
2025-10-01,British Columbia,2232195.3226643717
2025-11-01,British Columbia,2234532.1765563046
2025-12-01,British Columbia,2236793.6480646264
2026-01-01,British Columbia,2239130.5019565593
2026-02-01,British Columbia,2241391.973464881
2026-03-01,British Columbia,2243728.827356814
2026-04-01,British Columbia,2246065.681248747
2026-05-01,British Columbia,2248176.387989847
2026-06-01,British Columbia,2250513.2418817794
2026-07-01,British Columbia,2252774.7133901017
2026-08-01,British Columbia,2255111.5672820345
2026-09-01,British Columbia,2257373.0387903564
2026-10-01,British Columbia,2259709.892682289
2026-11-01,British Columbia,2262046.7465742216
2026-12-01,British Columbia,2264308.218082544
2027-01-01,British Columbia,2266645.0719744763
2027-02-01,British Columbia,2268906.543482798
2027-03-01,British Columbia,2271243.397374731
2027-04-01,British Columbia,2273580.251266664
2027-05-01,British Columbia,2275766.340391375
2027-06-01,British Columbia,2278103.1942833075
2027-07-01,British Columbia,2280364.6657916293
2027-08-01,British Columbia,2282701.519683562
2027-09-01,British Columbia,2284962.9911918845
2027-10-01,British Columbia,2287299.845083817
2027-11-01,British Columbia,2289636.6989757493
2027-12-01,British Columbia,2291898.1704840716
2028-01-01,British Columbia,2294235.0243760045
2028-02-01,British Columbia,2296496.4958843268
2028-03-01,British Columbia,2298833.349776259
2028-04-01,British Columbia,2301170.2036681916
2028-05-01,British Columbia,2303280.9104092917
2028-06-01,British Columbia,2305617.764301225
2028-07-01,British Columbia,2307879.235809547
2028-08-01,British Columbia,2310216.0897014793
2028-09-01,British Columbia,2312477.5612098016
2028-10-01,British Columbia,2314814.415101734
2028-11-01,British Columbia,2317151.2689936673
2028-12-01,British Columbia,2319412.740501989
2029-01-01,British Columbia,2321749.5943939216
2029-02-01,British Columbia,2324011.0659022434
2029-03-01,British Columbia,2326347.9197941762
2029-04-01,British Columbia,2328684.7736861086
2029-05-01,British Columbia,2330795.4804272093
2029-06-01,British Columbia,2333132.334319142
2029-07-01,British Columbia,2335393.805827464
2029-08-01,British Columbia,2337730.659719397
2029-09-01,British Columbia,2339992.1312277187
2029-10-01,British Columbia,2342328.9851196515
2029-11-01,British Columbia,2344665.8390115844
2029-12-01,British Columbia,2346927.3105199058
2030-01-01,British Columbia,2349264.164411839
2030-02-01,British Columbia,2351525.635920161
2030-03-01,British Columbia,2353862.4898120933
2030-04-01,British Columbia,2356199.343704026
2030-05-01,British Columbia,2358310.050445127
2030-06-01,British Columbia,2360646.9043370592
2030-07-01,British Columbia,2362908.375845381
2030-08-01,British Columbia,2365245.2297373144
2030-09-01,British Columbia,2367506.7012456357
2030-10-01,British Columbia,2369843.5551375686
2030-11-01,British Columbia,2372180.4090295015
2030-12-01,British Columbia,2374441.8805378233
2031-01-01,British Columbia,2376778.734429756
2031-02-01,British Columbia,2379040.2059380775
2031-03-01,British Columbia,2381377.059830011
